dirTag,title,name
67_104_1,To Tilden Park,North
52_92_1,To University Village, Albany
67_107_0,To Downtown Berkeley,South
7_115_0,To Downtown Berkeley,South
6_18_0,To Downtown Oakland,South
51B_89_0,To Rockridge BART,South
F_155_1,To San Francisco,West
F_151_0,To U.C. Campus,East
851_107_1,To Downtown Berkeley,North
52_95_0,To U.C. Campus,South
65_83_1,To Downtown Berkeley,West
7_118_1,To El Cerrito Del Norte BART,North
65_82_1,To Downtown Berkeley,West
800_18_0,To Richmond BART,East
65_80_0,To Lawrence Hall of Science,East
51B_87_1,To Berkeley Amtrak,North
88_118_1,To Downtown Berkeley,North
12_92_0,To Oakland Amtrak at Jack London Square,South
88_117_0,To Lake Merritt BART,South
79_26_1,To El Cerrito Plaza BART,North
12_91_1,To West Berkeley,North
851_105_0,To Fruitvale BART,South
36_10_1,To West Oakland BART,North
79_27_0,To Rockridge BART,South
18_18_0,To Lake Merritt BART,South
6_19_1,To Downtown Berkeley,North
36_11_0,To U.C. Campus,South
800_41_1,To San Francisco,West
18_22_1,To University Village, Albany
67_105_0,To Downtown Berkeley,South
800_16_0,To Richmond BART,East
